17,0,0,33,0,0,0,0,33,0,0,0,0,0,0,17
17,33,33,0,0,33,33,0,0,0,0,0,0,0,33,17
33,180,180,180,180,180,180,180,180,180,180,180,180,0,0,17
17,180,126,126,126,126,88,89,126,67,126,79,180,0,33,17
17,180,126,126,126,126,104,105,126,71,72,73,180,0,0,17
33,180,126,126,86,126,126,56,126,126,56,126,180,0,0,17
17,180,126,126,102,126,126,56,39,40,56,87,180,17,17,17
17,180,180,126,126,126,126,126,126,56,126,103,180,17,33,0
33,17,180,180,180,180,180,180,180,56,180,180,180,17,33,0
0,17,17,17,17,17,17,17,180,119,180,17,17,17,0,0
0,141,142,143,0,0,0,0,17,135,17,141,142,143,0,0
152,152,152,152,152,152,152,152,152,151,152,152,152,152,152,152
0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
